case,K,T,D,score
801,12,46993,250,804229
802,17,5592,24,640259
803,7,48426,2175,1816409
804,13,4788,453,989009
805,12,10100,6042,3049867
806,15,48668,3102,1355928
807,16,4586,27,601425
808,9,10459,8387,2386565
809,15,5886,3816,1648883
810,6,10702,16,245945
811,9,13027,26,222049
812,12,7390,36,312381
813,12,59933,96,437080
814,18,58041,1532,1831955
815,8,18721,949,1981816
816,6,29210,8079,1622191
817,8,35284,16,176901
818,6,44267,377,1238767
819,12,32172,3948,1407236
820,8,31146,30,263299
821,13,44896,1381,1893221
822,4,25634,727,1491776
823,4,43451,238,1138951
824,4,6051,16,1073134
825,10,32441,19,162189
826,7,7628,1042,1579321
827,11,20726,28,199794
828,10,42636,164,636843
829,5,42652,14,260689
830,11,43112,40,256416
831,16,59271,36,205796
832,5,37866,2462,1981259
833,19,6777,359,813225
834,7,41232,11,159496
835,19,13885,29,157257
836,9,16078,80,433721
837,12,7153,59,481923
838,4,10512,16,276182
839,20,8660,31,199089
840,7,32871,172,785673
841,16,39506,1095,1683849
842,6,5940,1706,1937468
843,12,16307,1673,1359610
844,20,8296,1762,948673
845,5,17815,258,1159814
846,16,34942,2614,2103031
847,15,34844,4405,1763257
848,20,12370,465,855336
849,15,4289,3894,2412820
850,19,50670,568,1082030
851,10,37717,564,1272364
852,9,17457,3650,2589901
853,9,4083,6555,2035615
854,17,29371,249,679232
855,15,4461,84,692930
856,19,4669,541,1067391
857,14,11814,19,133096
858,4,50947,1594,2341590
859,19,39094,75,318279
860,17,61163,35,189351
861,14,31392,130,491847
862,7,29644,34,257897
863,4,21774,28,432490
864,10,11952,410,1022908
865,7,5633,54,831371
866,19,22234,643,1171125
867,15,16074,507,1131969
868,8,18782,53,386216
869,19,7522,444,889205
870,10,14401,17,166385
871,6,26371,256,1054449
872,10,9803,65,375406
873,17,4606,4093,1395516
874,19,18081,38,193260
875,7,9339,616,1318897
876,20,16931,2441,1239810
877,12,6037,30,469327
878,18,7118,42,338640
879,14,4244,8475,1931646
880,4,38077,2058,2975947
881,4,45730,2565,2490971
882,15,7876,983,1541172
883,4,11428,2592,2867309
884,12,51203,2510,2946764
885,4,26617,5209,3109224
886,15,50605,166,563825
887,9,4023,12,788180
888,20,9828,5371,1843040
889,11,8392,509,1247182
890,9,4250,674,1363483
891,8,31380,763,1538471
892,20,33767,23,133707
893,12,27910,5632,2975550
894,18,59933,21,137898
895,20,13786,5710,1630214
896,5,44353,17,284333
897,7,23650,4762,2289678
898,20,30893,508,958193
899,15,36975,1614,2054218
900,15,24661,221,646184
901,5,51922,79,578641
902,5,10787,627,1893379
903,11,5674,61,528277
904,8,18780,72,434232
905,11,4930,4777,1253548
906,6,10714,18,319967
907,11,12229,197,730183
908,7,6395,139,842086
909,7,62269,2140,2452720
910,20,7618,1107,1252364
911,20,5858,401,841226
912,18,20148,3610,1671604
913,7,22173,104,510863
914,20,4865,543,857044
915,17,5176,52,700916
916,5,38675,13,245383
917,15,22215,82,349544
918,15,7761,783,1451202
919,16,12398,338,823399
920,13,9628,4706,1755457
921,19,8098,16,165927
922,20,13620,38,190940
923,15,19531,472,1093919
924,6,14463,30,301201
925,15,45041,138,524160
926,12,10211,248,804682
927,8,22428,1827,2168821
928,10,38179,31,232207
929,5,11748,21,228646
930,10,10073,3225,2707113
931,6,46440,238,887218
932,8,58476,40,303618
933,7,51445,168,855830
934,18,6172,1817,1793071
935,4,18738,3285,2900733
936,15,54394,240,707637
937,8,44846,715,1275371
938,14,33147,6685,2730889
939,17,41712,124,466042
940,20,5644,1447,1657856
941,6,61336,26,296527
942,13,32110,1564,2211201
943,19,32714,7844,1851511
944,9,7926,15,346069
945,20,47086,840,1236905
946,14,11147,837,1298444
947,20,19271,6331,1823464
948,18,30530,2234,1789371
949,8,23677,85,433827
950,17,19980,26,159152
951,4,35133,551,1416470
952,14,33360,1181,1790808
953,5,39005,26,288082
954,13,32481,404,864307
955,17,4758,41,607671
956,16,4978,28,580073
957,13,15362,565,1290473
958,16,47205,7104,1334557
959,20,20683,3709,3412277
960,13,28689,219,714321
961,5,11415,3493,1962778
962,11,5611,8963,1286046
963,4,23086,83,664990
964,20,5146,7622,2321306
965,12,44403,290,667537
966,6,4223,76,999907
967,20,5306,84,580125
968,20,29091,82,317184
969,20,14737,283,715622
970,18,34536,1509,1853066
